region,year_unemployment,unemployment_noed,unemployment_seconded,unemployment_tertiaryed,unemployment_rate
ITH3,2013,8.4,7.3,6.2,7.5
ITH4,2013,9.6,7.4,7.1,8
ITH5,2013,10.4,8.1,5.6,8.3
ITI1,2013,12.7,9.8,5.9,10.1
ITI2,2013,12.8,11.8,8.2,11.3
ITI3,2013,11.8,10.1,7.2,10.1
ITI4,2013,17.1,12.8,7.4,12.5
LT01,2013,30,12.7,3,8.5
LT02,2013,29.5,13.7,4.9,11.6
LU00,2013,10.2,6.3,3.9,5.9
LV00,2013,24,11.7,5.6,10.8
ME00,2013,31.8,19.7,9.9,18
MK00,2013,32.1,28.3,22.5,28
MT00,2013,9,3.9,2.6,5.7
NL11,2013,15.3,8.1,4.6,8.6
NL12,2013,12.8,6.8,4.8,7.9
NL13,2013,12.6,6.5,3.8,7.3
NL21,2013,13.1,6.9,3.4,7.3
NL22,2013,10.8,7.2,3.8,6.9
NL23,2013,18.2,10.5,5.5,11
NL31,2013,10,7.3,3.9,6.4
NL32,2013,11.9,7.6,3.6,6.9
NL33,2013,13.7,8.4,4.6,8.4
NL34,2013,8.7,4.9,NA,5.4
NL41,2013,10.8,6.9,4.1,7
NL42,2013,10.8,7.2,4.2,7.4
NO01,2013,7.8,4.7,2.1,3.8
NO02,2013,6.9,1.8,2.2,2.9
NO03,2013,8.1,3.4,2.8,4.1
NO04,2013,6.8,2.4,2,3.1
NO05,2013,5.8,2.7,2.1,3
NO06,2013,10.8,2.6,2.4,3.8
NO07,2013,7.9,2.4,1.7,3.3
PL21,2013,17.1,10.2,5.6,9.1
PL22,2013,25.1,9.5,4.5,8.6
PL41,2013,13.7,8.4,4.7,7.7
PL42,2013,18.5,9.1,3.7,8.4
PL43,2013,17.5,8.9,4.6,8.3
PL51,2013,27.2,10.7,3.1,9.1
PL52,2013,NA,8.4,NA,7.8
PL61,2013,20.3,11.7,4.4,10.7
PL62,2013,19.7,10.3,4.6,9.8
PL63,2013,19.3,9.8,3.6,8.6
PL71,2013,19.5,9.5,4.4,8.9
PL72,2013,17.1,12,8.4,11.4
PL81,2013,15.3,10.9,6.2,9.9
PL82,2013,22.2,15.8,7.6,14
PL84,2013,14.6,9.9,6,9.1
PL91,2013,17.5,8.3,3.1,5.8
PL92,2013,17.2,9,5.3,8.9
PT11,2013,15.1,17.2,11.4,14.8
PT15,2013,16.4,14.7,NA,14.5
PT16,2013,9.7,13.3,10.2,10.6
PT17,2013,19.8,14.9,8.9,14.9
PT18,2013,15.8,13,11.4,14.3
PT20,2013,18.3,NA,NA,16.3
PT30,2013,16.4,17.2,NA,15
RO11,2013,3,3.4,6.3,3.8
RO12,2013,12.9,9.6,4.7,9.2
RO21,2013,2.1,5.2,6.1,4.2
RO22,2013,11.8,10.4,7.7,10.4
RO31,2013,9,9.3,7.5,9
RO32,2013,16.1,7.1,5.1,7.2
RO41,2013,3.4,8.3,6.5,6.5
RO42,2013,6.6,4.6,NA,4.8
RS11,2013,25,19.8,11.9,17.2
RS12,2013,25.1,20.4,14,19.9
RS21,2013,11.4,20.9,18.3,18
RS22,2013,16.7,24,22.4,22.1
SE11,2013,19.7,6.3,4,7.1
SE12,2013,19.8,7.3,4.3,8.3
SE21,2013,13.8,5.9,3.8,6.7
SE22,2013,23.1,8.9,5.7,10
SE23,2013,17.9,6.6,4.3,7.6
SE31,2013,18.9,7.4,4.7,8.6
SE32,2013,17.1,6.9,3.1,7.4
SE33,2013,18.9,6.5,4.2,7.4
SI03,2013,16,11.5,7.5,11
SI04,2013,13.1,9.1,5.2,8.1
SK01,2013,NA,6.9,4.1,6
SK02,2013,33.8,10.5,5.8,11
SK03,2013,43.5,15.1,7,15.9
SK04,2013,50.4,15.2,8.6,16.6
TR10,2013,12.5,12.1,10.4,11.9
TR21,2013,6.1,9.1,11,7.6
TR22,2013,4.6,7.4,6.9,5.6
TR31,2013,13.2,15.6,13.3,13.8
TR32,2013,6.1,9.6,9.4,7.2
TR33,2013,2.8,6.3,6.3,3.9
TR41,2013,5.3,6.2,8.3,6.2
TR42,2013,9.1,11,10.9,9.9
TR51,2013,12.4,12.4,9.7,11.5
TR52,2013,4.7,7,7.6,5.5
TR61,2013,7.3,10.7,9,8.4
TR62,2013,8.5,14.2,13.6,10.7
TR63,2013,15.5,14,16.5,15.3
TR71,2013,6.9,8.3,9.5,7.6
TR72,2013,8.4,11.1,11.5,9.5
TR81,2013,3.9,11,9.1,6
TR82,2013,6,6.9,8.8,6.5
TR83,2013,4.8,9.8,8.6,6.2
TR90,2013,4.7,8.2,10,6.2
TRA1,2013,6.7,9.1,8.4,7.3
TRA2,2013,3,5.6,4.1,3.3
TRB1,2013,6.3,9.5,8.8,7.5
TRB2,2013,11.9,19.4,18.5,13.4
TRC1,2013,7.7,9.9,7.5,8.1
TRC2,2013,17.2,18.6,18,17.5
TRC3,2013,24.9,20.4,24.7,24
UKC1,2013,14.9,10.5,5.6,9.8
UKC2,2013,15.9,8.5,3.7,8.3
UKD1,2013,NA,6.4,NA,5
UKD3,2013,15,8.2,4.3,7.9
UKD4,2013,11.7,6.8,2.9,6.5
UKD6,2013,6.7,3.8,1.9,3.4
UKD7,2013,11.9,8.5,3.6,7.4
UKE1,2013,12,9.7,NA,8
UKE2,2013,11.1,4.5,2.4,4.5
UKE3,2013,15.9,8.9,4.2,8.8
UKE4,2013,12.3,6.8,3.3,6.7
UKF1,2013,10.9,7.1,2.3,6.1
UKF2,2013,9.7,4.7,3.5,5.3
UKF3,2013,5.7,5.1,NA,4.6
UKG1,2013,7.4,4.1,3.1,4.4
UKG2,2013,9.1,5.8,2.5,5.3
UKG3,2013,18.9,8.9,4.2,9.7
UKH1,2013,9.2,4.6,3.2,5
UKH2,2013,7,4.8,2.8,4.3
UKH3,2013,9.4,5.8,4.2,6.2
UKI3,2013,14.8,7.4,4.6,6.2
UKI4,2013,15.5,13.7,3.6,7.8
UKI5,2013,10.7,8.4,5,7.4
UKI6,2013,9.7,8.2,2.9,5.9
UKI7,2013,10.9,8.1,3.8,6.2
UKJ1,2013,7.4,5.4,2.4,4.2
UKJ2,2013,8.2,5.9,2.3,4.6
UKJ3,2013,8,5,2,4.2
UKJ4,2013,9.3,6,3.6,5.7
UKK1,2013,9.4,5.9,2.2,4.8
UKK2,2013,6.9,5.4,2.2,4.5
UKK3,2013,NA,4.6,NA,3.8
UKK4,2013,8,6.5,NA,5
UKL1,2013,13.8,5.8,4.4,6.9
UKL2,2013,9.5,7.1,3.5,6.1
UKM5,2013,NA,4.5,NA,4
UKM6,2013,NA,6.5,NA,3.9
UKM7,2013,13.8,6.2,3.1,5.8
UKM8,2013,14.5,11.6,2.6,7.8
UKM9,2013,11,4.9,3.2,5.3
UKN0,2013,10.2,8.1,2,6.4
AT11,2014,NA,5,NA,5.2
AT12,2014,10.1,5,3.5,5.2
AT13,2014,20.9,11.1,6.6,10.6
AT21,2014,11.2,6.2,3.9,6.1
AT22,2014,9.4,4.6,3.2,4.7
AT31,2014,7.3,4.1,2.3,4.1
AT32,2014,NA,3.2,NA,3.5
AT33,2014,6.7,2.5,NA,3
AT34,2014,NA,3.2,NA,3.5
BE10,2014,29.1,21.4,9,17.3
BE21,2014,12.3,6.5,3.5,6.1
BE22,2014,11.7,6.4,2.8,6
BE23,2014,8.2,4.1,3.1,4.4
BE24,2014,9.4,5.3,3.7,5.1
BE25,2014,8.9,3.9,2.2,4.2
BE31,2014,14.6,9.8,5.3,7.8
BE32,2014,24.7,13.7,5.1,13.3
BE33,2014,21.7,13.6,6.6,12.8
BE34,2014,18.7,9.8,4.7,9.3
BE35,2014,19.3,12.4,5.7,10.9
BG31,2014,36.5,11.6,NA,12.1
BG32,2014,27.1,8.6,6.1,10.6
BG33,2014,27.8,8,4.3,10.3
BG34,2014,24,8.6,5,10.4
BG41,2014,22,7.6,3,6.7
BG42,2014,21.3,7.6,4.6,9.2
CH01,2014,14.1,6.4,5.5,7.5
CH02,2014,7.9,4,3.3,4.4
CH03,2014,9,4.1,3,4.3
CH04,2014,6.7,4.3,3,4.1
CH05,2014,6.9,4,2.5,3.9
CH06,2014,4.5,3,3.5,3.4
CH07,2014,10.1,7.8,4.2,6.9
CY00,2014,18.3,16.5,12,14.9
CZ01,2014,11.3,3.1,1.8,2.8
CZ02,2014,14.6,3.6,1.5,3.5
CZ03,2014,15.2,3.5,2.1,3.9
CZ04,2014,27.6,5.6,1.9,7.3
CZ05,2014,21.6,4.7,2.7,5.2
CZ06,2014,17.8,4.8,3.3,4.9
CZ07,2014,22.8,5.1,3,5.3
CZ08,2014,37.7,7.2,2.6,8.1
DE11,2014,8,3.1,1.6,3.3
DE12,2014,7.3,3.1,1.7,3.3
DE13,2014,5.8,2,1.6,2.5
DE14,2014,7.4,2.5,NA,3
DE21,2014,5.2,2.7,1.8,2.7
DE22,2014,6.4,2.2,NA,2.5
DE23,2014,NA,2.4,NA,2.7
DE24,2014,8.4,3.7,NA,3.8
DE25,2014,6.4,2.8,2,3
DE26,2014,5.8,2.6,NA,3
DE27,2014,5.8,2.8,NA,3
DE30,2014,26.2,8.6,4.6,9.4
DE40,2014,14.3,6.3,2.3,5.7
DE50,2014,12.9,4.2,NA,5.6
DE60,2014,10.6,4.1,2.2,4.3
DE71,2014,9.7,3.6,2.5,4.1
DE72,2014,9.7,3.2,NA,3.8
DE73,2014,7.7,3.3,NA,3.6
DE80,2014,18.1,8.7,2.6,7.8
DE91,2014,12.9,4.3,2.5,4.9
DE92,2014,9.8,4.4,2.8,4.7
DE93,2014,8.8,3,NA,3.5
DE94,2014,9.2,3.3,2.3,3.9
DEA1,2014,14.1,5,2.8,5.9
DEA2,2014,12.5,3.9,2.2,4.8
DEA3,2014,12.5,3.4,1.6,4.4
DEA4,2014,12.2,3.5,2.3,4.7
DEA5,2014,12.4,4.8,3,5.7
DEB1,2014,8.2,2.8,NA,3.4
DEB2,2014,NA,NA,NA,2.9
DEB3,2014,12,3.2,NA,4.1
DEC0,2014,14.9,4.4,NA,5.6
DED2,2014,22.2,6.7,2.8,6.2
DED4,2014,17.1,5.8,NA,5.4
DED5,2014,23.6,8.1,3.8,7.7
DEE0,2014,23.7,8.2,2.4,8
DEF0,2014,12.2,3.3,1.9,4.2
DEG0,2014,15.6,6.3,2.7,5.8
DK01,2014,12.3,5.7,5.2,6.8
DK02,2014,10.6,5.3,3.1,6
DK03,2014,10.2,5.2,4.1,6.2
DK04,2014,9.1,4.7,4.6,5.7
DK05,2014,8.9,6.2,4.6,6.4
EE00,2014,12.3,6.9,4,6.4
EL30,2014,32.5,28.2,19.1,25.2
EL41,2014,19.3,16.5,18.4,18
EL42,2014,14.6,18.5,7.1,14.9
EL43,2014,26.1,25.7,19.4,24.2
EL51,2014,22.5,27.7,18.7,23.4
EL52,2014,29.1,28.4,20.1,26
EL53,2014,28,36.1,25.3,30.7
EL54,2014,21.5,30.4,19.5,24.5
EL61,2014,28.3,27.9,23.9,26.9
EL62,2014,14.4,23.7,15.8,19
EL63,2014,28.3,32.3,22.4,28.5
EL64,2014,23.8,26.8,27,25.8
EL65,2014,21.3,23.9,20.8,22.3
ES11,2014,24.5,18.9,14.2,19.3
ES12,2014,26.7,16.9,15.3,19.1
ES13,2014,25,16.6,12.6,17.6
ES21,2014,23.8,16.7,9.4,14.8
ES22,2014,19.4,17.4,8.4,13.8
ES23,2014,21.3,16.6,9.6,15.4
ES24,2014,21.7,18.3,9.8,16.3
ES30,2014,27.6,18.4,10.7,17.1
ES41,2014,24.4,17.6,12.3,18.3
ES42,2014,33.9,23.9,16.5,26.3
ES43,2014,36.8,26.7,17.1,29.1
ES51,2014,26.9,19.3,10.4,18.6
ES52,2014,30.1,22.7,14.1,22.8
ES53,2014,23,17,9.2,17.3
ES61,2014,40.4,28.8,19.6,31.5
ES62,2014,31.7,25.2,13.3,24.6
ES63,2014,41.1,20.5,13.6,27.6
ES64,2014,46.5,35.7,15.5,34
ES70,2014,36.3,27,19.5,29.1
FI19,2014,19.1,10.2,6.4,9.8
FI1B,2014,15.9,8.8,5.4,8
FI1C,2014,18.4,10.4,6.6,10
FI1D,2014,18.2,11.9,5.9,10.4
FI20,2014,NA,NA,NA,NA
FR10,2014,15.7,10.2,6.7,9.6
FRB0,2014,15.7,11.8,5.7,10.7
FRC1,2014,13.7,8.9,5.4,8.8
FRC2,2014,13.1,10.3,4.6,9.3
FRD1,2014,10.4,8.8,5.6,8.2
FRD2,2014,17.1,11.1,5.5,10.6
FRE1,2014,21.2,15.2,7.6,13.8
FRE2,2014,15.9,11,6.1,10.8
FRF1,2014,18.9,9.4,4.5,9.1
FRF2,2014,18.9,13.6,6.7,13
FRF3,2014,22.5,12.1,7.4,12.2
FRG0,2014,17.1,9,5.9,9.1
FRH0,2014,11.8,8.2,5.7,7.8
FRI1,2014,16.6,9.7,7,9.7
FRI2,2014,13.4,8.8,6.8,8.9
FRI3,2014,18.1,9.7,5.1,9.8
FRJ1,2014,19.4,14.6,7.1,13
FRJ2,2014,16,9.2,5.6,8.6
FRK1,2014,15.9,7.9,5.9,8.6
FRK2,2014,17.5,9.4,5.5,9.1
FRL0,2014,18.1,11.3,7,11
FRM0,2014,29.6,5.1,7.6,11.9
FRY1,2014,29.5,26.1,12,23.6
FRY2,2014,23.7,20.1,8.7,17.9
FRY3,2014,34.5,19.5,NA,21.9
FRY4,2014,33.8,25.1,7.9,23.5
FRY5,2014,31.4,24.3,NA,25.3
HR03,2014,22.7,18.7,10.9,16.8
HR04,2014,21,17.7,8.3,15.9
HU11,2014,18.8,5.5,2.7,5.1
HU12,2014,9.8,6.8,NA,5.7
HU21,2014,11,3.9,NA,4.4
HU22,2014,12.9,3.1,NA,3.8
HU23,2014,19.6,6.9,NA,8.1
HU31,2014,19.2,7.8,2.8,8.7
HU32,2014,21.8,9.7,3.4,10.9
HU33,2014,19.7,7,2.6,7.9
IE04,2014,13,11.2,7.3,10
IE05,2014,17.5,12.6,5.9,10.6
IE06,2014,18.2,12.8,5,9.4
IS00,2014,6.1,3.4,2.7,4
ITC1,2014,13.6,9.6,5.4,10.2
ITC2,2014,12,7.8,NA,8.9
ITC3,2014,13.6,8.4,4.4,9.2
ITC4,2014,10.1,8,4.4,7.9
ITF1,2014,12,13.4,11.6,12.6
ITF2,2014,16.1,14.2,11.8,14.3
ITF3,2014,25.3,19.1,10.2,19.8
ITF4,2014,22.8,19,13.1,19.7
ITF5,2014,13.5,14.4,12,13.7
ITF6,2014,26.4,23.3,15.7,22.9
ITG1,2014,27.1,19.8,12,21.4
ITG2,2014,21.1,16.2,10.6,17.4
ITH1,2014,4.6,3.7,NA,3.8
ITH2,2014,9.8,6.1,5,6.8
ITH3,2014,8.4,6.8,5.7,7.1
ITH4,2014,10.4,7.6,5.4,8
ITH5,2014,9.9,7.5,5.2,7.7
ITI1,2014,10.9,9.5,5.7,9.2
ITI2,2014,14.3,10.3,5.8,10.4
ITI3,2014,12.5,9.1,7.9,9.9
ITI4,2014,15.6,12.5,6.8,11.8
LT01,2014,25.6,11.8,2.9,7.6
LT02,2014,26.2,11.6,4.1,9.8
LU00,2014,10.6,6.2,4.7,6.7
LV00,2014,21.9,10.8,4.9,9.9
ME00,2014,28.1,19.2,10.3,17.5
MK00,2014,29.7,26.6,21.1,26.1
MT00,2014,8.8,3.8,2,5.4
NL11,2014,14.3,9.9,4.4,9.1
NL12,2014,13.2,7.1,4.6,7.9
NL13,2014,12.4,7.1,3.8,7.5
NL21,2014,10.9,6.7,3.9,6.9
NL22,2014,9.7,6.3,3.8,6.3
NL23,2014,12.9,8,3.2,7.9
NL31,2014,10.7,6.7,4.2,6.4
NL32,2014,10.1,7,3.5,6.2
NL33,2014,13,8.1,4,7.8
NL34,2014,6.8,5.2,3.6,5.3
NL41,2014,10.9,6.1,3.6,6.5
NL42,2014,9.1,6,4.5,6.3
NO01,2014,10.5,5.2,2.8,4.7
NO02,2014,9.5,3.7,2.8,4.5
NO03,2014,11,3.8,1.9,4.5
NO04,2014,8.3,4.3,3.2,4.6
NO05,2014,8.7,3.1,2.7,3.9
NO06,2014,6.6,3.7,2.7,3.7
NO07,2014,8.3,2.4,1.8,3.4
PL21,2014,10,8.7,3.8,7.1
PL22,2014,24.1,8.1,3.1,7.2
PL41,2014,14.9,5.8,4.1,5.8
PL42,2014,17.3,7.6,3.9,7.5
PL43,2014,16.6,6.8,NA,6.4
PL51,2014,24,7.5,2.7,7
PL52,2014,NA,6.9,NA,6.5
PL61,2014,15.9,8.7,3.4,7.9
PL62,2014,18.1,10.2,4.5,9.5
PL63,2014,17.4,7.2,3.1,6.6
PL71,2014,19.7,8.2,3.8,7.7
PL72,2014,16.6,10.7,6.5,10.1
PL81,2014,15.2,10,6.6,9.3
PL82,2014,17.3,13.4,6.2,11.6
PL84,2014,11.5,7.7,4.2,7
PL91,2014,14,6.5,3.2,4.9
PL92,2014,13.4,8.9,4.7,8.3
PT11,2014,13.6,15.6,11.6,13.7
PT15,2014,14.1,12.4,NA,12.5
PT16,2014,8.3,11.9,8.7,9.2
PT17,2014,17.4,13.9,7.4,13.1
PT18,2014,13.6,13.3,12.5,13.3
PT20,2014,15.3,NA,NA,12.8
PT30,2014,15.5,NA,NA,14.7
RO11,2014,6.8,4.4,3.3,4.6
RO12,2014,16.3,6.5,3.5,7.4
RO21,2014,2.4,4.7,NA,3.6
RO22,2014,11.1,9,5.5,9
RO31,2014,12.2,10.4,6.8,10.3
RO32,2014,11.4,6,2.7,5.3
RO41,2014,6.6,12.6,7.6,10.1
RO42,2014,9.2,5.1,NA,5.4
RS11,2014,28.2,20.5,14.8,18.7
RS12,2014,20.4,16.9,12.8,16.6
RS21,2014,10.5,19.9,15.4,16.8
RS22,2014,12.5,20.7,19.6,18.8
SE11,2014,19.6,6.1,4.2,7
SE12,2014,19.8,6.6,4.4,7.9
SE21,2014,14.8,4.3,3.5,6
SE22,2014,23.5,8,5.9,9.5
SE23,2014,16.3,5.5,3.6,6.6
SE31,2014,19,6.5,3.9,7.9
SE32,2014,19.6,5.9,2.6,7.1
SE33,2014,17.6,6.2,4.7,7.2
SI03,2014,14.5,11,7,10.3
SI04,2014,12.4,8.5,4.7,7.5
SK01,2014,NA,6.2,4,5.7
SK02,2014,30.8,9.2,6.3,9.7
SK03,2014,34.8,12.8,5.8,12.8
SK04,2014,48.6,13.3,7.5,15
TR10,2014,13.4,13.2,11.5,12.8
TR21,2014,6.2,8,9.7,7.3
TR22,2014,4.2,5.7,8.1,5.3
TR31,2014,15.7,16,12,14.9
TR32,2014,5.6,9.2,9,6.8
TR33,2014,3,5.8,6.4,4.1
TR41,2014,6.9,8.7,8.3,7.7
TR42,2014,9.7,9.4,12.1,10.1
TR51,2014,12.3,11.3,9.6,11.1
TR52,2014,5.2,9.7,8.2,6.5
TR61,2014,8.5,12.1,9.5,9.4
TR62,2014,8,13,12.3,9.8
TR63,2014,16,15.8,17.7,16.3
TR71,2014,8.9,12.2,10.9,9.9
TR72,2014,7.7,12.5,13.2,9.7
TR81,2014,5.4,8.4,11.6,6.9
TR82,2014,5.4,10.1,9.3,6.8
TR83,2014,5.1,7.8,11.1,6.6
TR90,2014,3.3,6,8.6,4.8
TRA1,2014,5.6,7.1,7,6
TRA2,2014,3.4,5.7,5.2,3.9
TRB1,2014,7.2,9,8.7,7.9
TRB2,2014,9.3,12.5,9.3,9.7
TRC1,2014,10.3,9.2,8.2,9.7
TRC2,2014,17.5,18.6,15.6,17.4
TRC3,2014,24.5,22,26.7,24.4
UKC1,2014,15.7,9.6,2.7,8.5
UKC2,2014,12.4,8.6,4.2,7.7
UKD1,2014,NA,5.7,NA,4.2
UKD3,2014,12.3,7,3.6,6.5
UKD4,2014,9,5.1,NA,4.5
UKD6,2014,NA,4.8,2.1,3.5
UKD7,2014,9.5,6.8,2.3,5.8
UKE1,2014,11.3,7.5,NA,6.4
UKE2,2014,7.5,2.8,NA,3.1
UKE3,2014,13.2,7.7,3.6,7.4
UKE4,2014,14.3,6.6,2.4,6.6
UKF1,2014,8.1,5,2.7,4.8
UKF2,2014,7.6,4.7,2.5,4.4
UKF3,2014,5.5,4.5,NA,4.5
UKG1,2014,5.4,2.7,2.6,3.2
UKG2,2014,7.7,5.4,2.1,4.6
UKG3,2014,15.3,7.4,4.4,7.9
UKH1,2014,7.8,4.6,1.9,4.3
UKH2,2014,8.5,3.9,1.9,3.8
UKH3,2014,6.9,4,3.1,4.3
UKI3,2014,24.4,7.4,3.1,5.4
UKI4,2014,14.9,11.9,3.7,7.2
UKI5,2014,8.9,8.3,6.3,7.5
UKI6,2014,5.3,6.4,3.2,4.6
UKI7,2014,9.4,8.4,2.9,5.5
UKJ1,2014,5,4,2.7,3.5
UKJ2,2014,5.6,4.8,2.2,3.7
UKJ3,2014,6,4.5,2.6,4.1
UKJ4,2014,5.8,6.2,3.8,5.3
UKK1,2014,8,4.1,2.1,3.9
UKK2,2014,4.7,4.1,3.3,3.9
UKK3,2014,NA,5.5,NA,4.5
UKK4,2014,8.4,4.1,NA,3.7
UKL1,2014,10.6,7.2,3.5,6.5
UKL2,2014,10.4,5.3,2.2,4.8
UKM5,2014,NA,NA,NA,3.2
UKM6,2014,NA,NA,NA,2.8
UKM7,2014,13.9,6.7,3,6
UKM8,2014,11.5,8.5,4.7,7.1
UKM9,2014,10.2,7.2,2.7,6
UKN0,2014,10.6,6.8,2.5,6.1
AT11,2015,NA,5.3,NA,5.7
AT12,2015,11.5,5.3,2.4,5.2
AT13,2015,22.9,12.9,5.9,11.3
AT21,2015,NA,5.4,3.8,5.4
AT22,2015,12,4.6,3,5.1
AT31,2015,9.2,4.1,2.6,4.4
AT32,2015,NA,2.9,NA,3.4
AT33,2015,8.2,2.5,2.8,3.5
AT34,2015,NA,2.9,NA,3.4
BE10,2015,30.6,20,8.4,16.8
BE21,2015,13.1,5.9,3.3,6.1
BE22,2015,9.1,5.1,2.6,4.8
BE23,2015,7.5,4.6,2.7,4.2
BE24,2015,10.3,5.2,3.2,4.8
BE25,2015,6.7,3.8,2.3,3.7
BE31,2015,14.4,8.2,6.2,7.9
BE32,2015,22.9,12.2,4.8,11.8
BE33,2015,19.5,11.6,5.6,11.1
BE34,2015,14.4,7.8,4.5,7.8
BE35,2015,17.3,12.1,4.1,9.7
BG31,2015,32.3,9.7,NA,10.6
BG32,2015,25.8,7.6,4.6,9.3
BG33,2015,27.2,7,4.5,9.7
BG34,2015,20.4,6.2,3.3,7.9
BG41,2015,16.2,6.3,2.7,5.4
BG42,2015,18.4,5.5,3.5,7.1
CH01,2015,12,7.1,5.8,7.6
CH02,2015,9.2,4.5,2.7,4.6
CH03,2015,11.6,5,2.7,4.9
CH04,2015,7.4,4.4,2.6,3.9
CH05,2015,8.2,3.5,2.9,4
CH06,2015,4.8,3.8,2.4,3.4
CH07,2015,10.5,6.7,5.4,6.9
CY00,2015,15.4,14.3,10.9,13
CZ01,2015,9.3,2.3,1.7,2.2
CZ02,2015,15.8,3.1,1,3.1
CZ03,2015,15.9,2.6,1.5,3.1
CZ04,2015,24.7,3.5,1.4,5.2
CZ05,2015,19.3,3.5,1.8,4
CZ06,2015,14.6,3.6,2.5,3.7
CZ07,2015,15.8,3.7,1.7,3.9
CZ08,2015,34.1,5.5,3.1,6.9
DE11,2015,7.6,2.9,1.7,3.3
DE12,2015,7.3,2.5,2.2,3.1
DE13,2015,6.5,2.6,1.9,3
DE14,2015,5.8,2.3,1.7,2.6
DE21,2015,5.5,2.3,1.6,2.4
DE22,2015,5.7,1.5,NA,2.1
DE23,2015,6.1,2.4,NA,2.8
DE24,2015,7.7,2.8,NA,3.3
DE25,2015,4.8,2.3,NA,2.5
DE26,2015,6.1,2.2,NA,2.5
DE27,2015,6.2,2.4,NA,2.7
DE30,2015,22.8,7.1,3.9,7.8
DE40,2015,13.2,4.7,2.1,4.6
DE50,2015,9.1,5.1,NA,5.3
DE60,2015,10.9,3.6,2.5,4.1
DE71,2015,9.7,3.4,2.1,4
DE72,2015,8.9,3.4,NA,4
DE73,2015,9.1,3.1,NA,3.7
DE80,2015,13.7,6.7,3.3,6.3
DE91,2015,13,3.4,3,4.6
DE92,2015,12.3,3.7,2.2,4.7
DE93,2015,9.4,2.6,NA,3.3
DE94,2015,7.7,3.3,NA,3.6
DEA1,2015,11.8,4.3,2.1,4.9
DEA2,2015,9.2,3.4,2.2,3.9
DEA3,2015,12.3,3.3,2.1,4.3
DEA4,2015,10.1,3.2,NA,4.1
DEA5,2015,11.6,4.2,2.1,5
DEB1,2015,7.4,2.8,NA,3.4
DEB2,2015,NA,NA,NA,2.7
DEB3,2015,10.5,3.2,1.9,4.1
DEC0,2015,11.1,4.2,NA,4.8
DED2,2015,15.6,5.1,2.4,4.9
DED4,2015,14.3,4.5,NA,4.4
DED5,2015,21.5,6.3,NA,6
DEE0,2015,20.3,7.5,2.8,7.4
DEF0,2015,10.4,3.3,2.4,4
DEG0,2015,18.1,4.9,2.8,5.1
DK01,2015,11.2,5.5,4.7,6.2
DK02,2015,9.1,5.6,4,6.2
DK03,2015,9,5.3,4.7,6.1
DK04,2015,7.4,4.4,4.6,5.4
DK05,2015,8.7,4.9,5.2,6
EE00,2015,12.9,7.8,3.9,6.9
EL30,2015,32.4,26.6,16,23
EL41,2015,20.8,17.4,17.2,18.3
EL42,2015,19.3,18.9,10.2,17.4
EL43,2015,23.3,24.1,19.4,22.6
EL51,2015,22,26.4,18.7,22.8
EL52,2015,27.9,26.8,19,24.5
EL53,2015,30.9,35,25.3,31.3
EL54,2015,24.6,26.6,21.2,24.3
EL61,2015,28.5,26.1,21.4,25.5
EL62,2015,16.8,17.2,12.2,16
EL63,2015,28.8,34.6,23.4,29.8
EL64,2015,23.1,26.1,25.5,25
EL65,2015,17.1,21.6,17.3,19.2
ES11,2015,22.5,16.7,12.1,17.2
ES12,2015,24.3,16.5,13.9,17.6
ES13,2015,19.4,15.3,11.4,14.9
ES21,2015,20.2,14.1,8.3,12.6
ES22,2015,19.6,15.8,6.6,12.5
ES23,2015,19.5,12,9.1,13.5
ES24,2015,20,16.1,9.2,14.7
ES30,2015,25.2,17.2,9.8,15.7
ES41,2015,22,14.6,10.3,15.8
ES42,2015,30.5,20.8,14.5,23.5
ES43,2015,34.1,24.7,17.2,27.5
ES51,2015,23.3,16.5,8.7,15.7
ES52,2015,27,21.3,12.9,20.6
ES53,2015,20,12.3,7.1,13.9
ES61,2015,37.5,26.2,17.7,28.9
ES62,2015,26.2,18.8,10.8,19.8
ES63,2015,37.7,15.5,12.4,24.9
ES64,2015,41.6,24.6,20.2,30.8
ES70,2015,33.2,25.7,16.8,26.1
FI19,2015,17.2,9.5,7,9.4
FI1B,2015,16,8,4.8,7.4
FI1C,2015,17.1,9.6,5.9,9.1
FI1D,2015,17.3,11.3,6.3,10.2
FI20,2015,NA,NA,NA,NA
FR10,2015,16.2,11,5.6,9.2
FRB0,2015,14.5,11.5,4.8,9.9
FRC1,2015,14.9,9.8,6.1,9.6
FRC2,2015,15.4,8.3,4.4,8.1
FRD1,2015,11.9,9,5.6,8.6
FRD2,2015,20.1,12.3,4.7,11.5
FRE1,2015,23.7,14,6.9,13.3
FRE2,2015,17.2,11.7,6.3,11.5
FRF1,2015,19.1,11.4,6.8,10.9
FRF2,2015,18.3,10.3,7.1,11.3
FRF3,2015,23.2,11.9,5.7,11.7
FRG0,2015,19,8.4,5.2,8.9
FRH0,2015,15.3,9.2,5.6,8.6
FRI1,2015,17.6,9.9,7,10
FRI2,2015,14,6.7,4.7,7.1
FRI3,2015,17.9,8.6,4.5,9
FRJ1,2015,16.9,13.5,6.9,11.9
FRJ2,2015,16.7,9,5.4,8.5
FRK1,2015,14.9,6.9,4.3,7.2
FRK2,2015,15.7,8.4,5.1,8.1
